Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
"เหล็กกล่อง 6""x6"" เขียว",0100050140004,code128,ไม่ระบุ,01,004,004,  ,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่องแบน 2""x1"" เหลือง",0100060150001,code128,ไม่ระบุ,01,004,004,  ,202,257,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่องแบน 2""x1"" ส้ม",0100060150002,code128,ไม่ระบุ,01,004,004,  ,225,278,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่องแบน 2""x1"" ขาว",0100060150003,code128,ไม่ระบุ,01,004,004,  ,262,396,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่องแบน 2""x1"" เขียว",0100060150004,code128,ไม่ระบุ,01,004,004,  ,364,428,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่องแบน 3""x1-1/2"" เหลือง",0100060160001,code128,ไม่ระบุ,01,004,004,  ,300,366,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่องแบน 3""x1-1/2"" ส้ม",0100060160002,code128,ไม่ระบุ,01,004,004,  ,343,411,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่องแบน 3""x1-1/2"" ขาว",0100060160003,code128,ไม่ระบุ,01,004,004,  ,390,546,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่องแบน 3""x1-1/2"" เขียว",0100060160004,code128,ไม่ระบุ,01,004,004,  ,560,653,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่องแบน 4""x2"" เหลือง",0100060170001,code128,ไม่ระบุ,01,004,004,  ,409,503,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่องแบน 4""x2"" ส้ม",0100060170002,code128,ไม่ระบุ,01,004,004,  ,472,578,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่องแบน 4""x2"" ขาว",0100060170003,code128,ไม่ระบุ,01,004,004,  ,524,614,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่องแบน 4""x2"" เขียว",0100060170004,code128,ไม่ระบุ,01,004,004,  ,730,867,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่องแบน 6""x2"" ส้ม",0100060180002,code128,ไม่ระบุ,01,004,004,  ,685,856,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกล่องแบน 6""x2"" เขียว",0100060180004,code128,ไม่ระบุ,01,004,004,  ,963,1091,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
